Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,bothKeywords,Correspondence Address,Editors,Publisher Address,Conference name,Conference location,Conference date,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Source,Subject,EID,duplicatedIn,country,emailHost,institution,institutionWithCountry,authorFull
"Kazman, R., Cai, Y.F., Mo, R., Feng, Q., Xiao, L., Haziyev, S., Fedak, V., Shapochka, A.",A Case Study in Locating the Architectural Roots of Technical Debt,2015,"2015 IEEE/ACM 37TH IEEE INTERNATIONAL CONFERENCE ON SOFTWARE ENGINEERING, VOL 2",,,,179,188,10,41,10.1109/ICSE.2015.146,,"[Kazman, Rick] CMU, SEU, Pittsburgh, PA 15213 USA; [Kazman, Rick] Univ Hawaii, Honolulu, HI 96822 USA; [Haziyev, Serge; Fedak, Volodymyr; Shapochka, Andriy] SoftServe Inc, Lvov, Ukraine; [Cai, Yuanfang; Mo, Ran; Feng, Qiong; Xiao, Lu] Drexel Univ, Philadelphia, PA 19104 USA",,"Our recent research has shown that, in large-scale software systems, defective files seldom exist alone. They are usually architecturally connected, and their architectural structures exhibit significant design flaws which propagate bugginess among files. We call these flawed structures the architecture roots, a type of technical debt that incurs high maintenance penalties. Removing the architecture roots of bugginess requires refactoring, but the benefits of refactoring have historically been difficult for architects to quantify or justify. In this paper, we present a case study of identifying and quantifying such architecture debts in a large-scale industrial software project. Our approach is to model and analyze software architecture as a set of design rule spaces (DRSpaces). Using data extracted from the project's development artifacts, we were able to identify the files implicated in architecture flaws and suggest refactorings based on removing these flaws. Then we built economic models of the before and (predicted) after states, which gave the organization confidence that doing the refactorings made business sense, in terms of a handsome return on investment.",,,,kazman@hawaii.edu; yc349@drexel.edu; rm859@drexel.edu; lx52@drexel.edu; shaziyev@softserveinc.com; vfedak@softserveinc.com; ashopoch@softserveinc.com,,"345 E 47TH ST, NEW YORK, NY 10017 USA",IEEE/ACM 2nd International Workshop on Software Architecture and Metrics (SAM),"Florence, ITALY","MAY 16-16, 2015",IEEE,,978-1-4799-1934-5,,,English,,Proceedings Paper,WoS,Computer Science; Engineering,WOS:000380572400020,2-s2.0-84943346141,United States;Ukraine,hawaii.edu,CMU;Univ Hawaii;SoftServe Inc;Drexel Univ,"CMU, United States;Univ Hawaii, United States;SoftServe Inc, Ukraine;Drexel Univ, United States","Kazman, Rick; Cai, Yuanfang; Mo, Ran; Feng, Qiong; Xiao, Lu; Haziyev, Serge; Fedak, Volodymyr; Shapochka, Andriy"
"Dillon, B.S.",A Case Study in Object-oriented Patterns Identified During Manual Refactoring,2016,"2016 IEEE/ACIS 14TH INTERNATIONAL CONFERENCE ON SOFTWARE ENGINEERING RESEARCH, MANAGEMENT AND APPLICATIONS (SERA)",,,,91,98,8,0,,,"[Dillon, Brian S.] Virginia Tech, Naval Surface Warfare Ctr, Dahlgren Div, Blacksburg, VA 24061 USA",,"Software design patterns are often-repeated implementations that have been identified and cataloged. These are commonly seen as useful and good patterns to implement. Occasionally the term ""anti-pattern"" has been used to identify less-useful patterns that also appear regularly. The exact definition of an anti-pattern is somewhat subjective, and the term has even been applied to some recognized design patterns. This paper discusses four manual refactoring case studies where patterns were discovered and cataloged. Evidence observed in the source code is used to infer how these patterns evolved. Based on these findings, preventive development practices are suggested. Potential improvements to development tools and a new method for pattern classification are suggested as subjects for future work.",Software evolution; reverse engineering; software aging; software quality; refactoring; design patterns; anti-patterns,,Software evolution;reverse engineering;software aging;software quality;refactoring;design patterns;anti-patterns,briand81@vt.edu,"Song, YT","345 E 47TH ST, NEW YORK, NY 10017 USA","IEEE/ACIS 14th International Conference on Software Engineering Research, Management and Application (SERA)","Towson Univ, Baltimore, MD","JUN 08-10, 2016",IEEE,,978-1-5090-0809-4,,,English,,Proceedings Paper,WoS,Engineering,WOS:000383222400012,2-s2.0-84983380226,United States,vt.edu,Virginia Tech,"Virginia Tech, United States","Dillon, Brian S."
"Kolb, R., Muthig, D., Patzke, T., Yamauchi, K.",A case study in refactoring a legacy component for reuse in a product line,2005,ICSM 2005: PROCEEDINGS OF THE 21ST IEEE INTERNATIONAL CONFERENCE ON SOFTWARE MAINTENANCE,,,,369,378,10,30,,,"Fraunhofer Inst Expt Software Engn, D-67661 Kaiserslautern, Germany",,"This paper describes activities performed to systematically improve the design and implementation of an existing software component in order to reuse it in a software product line. The activities are embedded in the application of Fraunhofer's PuLSE (TM)-DSSA approach for defining the architecture of a new product line. The component under investigation is the so called Image Memory Handier (IMH) which is used in Ricoh's current products of office appliances such as copier machines, printers, and multi-functional peripherals. It is responsible for controlling memory usage and compressing and decompressing image data. Both the improvement of the component's design and implementation are based on a systematic analysis and focused on increasing maintainability and reusability and hence suitability for use in a product line.",,,,kolb@iese.fraunhofer.de; muthig@iese.fraunhofer.de; patzke@iese.fraunhofer.de; kaz@nts.ricoh.co.jp,,"10662 LOS VAQUEROS CIRCLE, PO BOX 3014, LOS ALAMITOS, CA 90720-1264 USA",21st International Conference on Software Maintenance (ICSM 2005),"Budapest, HUNGARY","SEP 26-29, 2005",IEEE COMPUTER SOC,1063-6773,0-7695-2368-4,,,English,PROC IEEE INT CONF S,Proceedings Paper,WoS,Computer Science,WOS:000234333200037,2-s2.0-33646425541,Germany,iese.fraunhofer.de,D-67661 Kaiserslautern,"D-67661 Kaiserslautern, Germany","Kolb, R; Muthig, D; Patzke, T; Yamauchi, K"
"Szoke, G., Nagy, C., Ferenc, R., Gyimothy, T.",A Case Study of Refactoring Large-Scale Industrial Systems to Efficiently Improve Source Code Quality,2014,"COMPUTATIONAL SCIENCE AND ITS APPLICATIONS - ICCSA 2014, PT V",8583,,,524,540,17,6,,,"[Szoke, Gabor; Nagy, Csaba; Ferenc, Rudolf; Gyimothy, Tibor] Univ Szeged, Dept Software Engn, Szeged, Hungary",,"Refactoring source code has many benefits (e.g. improving maintainability, robustness and source code quality), but it takes time away from other implementation tasks, resulting in developers neglecting refactoring steps during the development process. But what happens when they know that the quality of their source code needs to be improved and they can get the extra time and money to refactor the code? What will they do? What will they consider the most important for improving source code quality? What sort of issues will they address first or last and how will they solve them? In our paper, we look for answers to these questions in a case study of refactoring large-scale industrial systems where developers participated in a project to improve the quality of their software systems. We collected empirical data of over a thousand refactoring patches for 5 systems with over 5 million lines of code in total, and we found that developers really optimized the refactoring process to significantly improve the quality of these systems.",software engineering; refactoring; software quality,,software engineering;refactoring;software quality,,"Murgante, B; Misra, S; Rocha, AMAC; Torre, C; Rocha, JG; Falcao, MI; Taniar, D; Apduhan, BO; Gervasi, O","HEIDELBERGER PLATZ 3, D-14197 BERLIN, GERMANY",14th International Conference on Computational Science and Its Applications (ICCSA),"Guimaraes, PORTUGAL","JUN 30-JUL 03, 2014",SPRINGER-VERLAG BERLIN,0302-9743,978-3-319-09156-3; 978-3-319-09155-6,,,English,LECT NOTES COMPUT SC,Proceedings Paper,WoS,Computer Science,WOS:000349533300036,2-s2.0-84904878254,Hungary,No email,Univ Szeged,"Univ Szeged, Hungary","Szoke, Gabor; Nagy, Csaba; Ferenc, Rudolf; Gyimothy, Tibor"
"Riechers T.M., Kuo S.H., Goh R.S.M., Soh H., Hung T., Malik A.M.",A case study on dynamic kernel adaptation in a component-based infectious disease simulator,2009,"Proceedings of the 2009 Workshop on Component-Based High-Performance Computing, CBHPC 2009",,, 1687782,,,,1,10.1145/1687774.1687782,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77749260884&doi=10.1145%2f1687774.1687782&partnerID=40&md5=23a8db187aa58b8b77dd63d82d62874a,"RWTH Aachen University, Germany; Institute of High Performance Computing, 1 Fusionopolis way #16-16 Connexis, Singapore 138632, Singapore","Riechers, T.M., RWTH Aachen University, Germany; Kuo, S.-H., Institute of High Performance Computing, 1 Fusionopolis way #16-16 Connexis, Singapore 138632, Singapore; Goh, R.S.M., Institute of High Performance Computing, 1 Fusionopolis way #16-16 Connexis, Singapore 138632, Singapore; Soh, H., Institute of High Performance Computing, 1 Fusionopolis way #16-16 Connexis, Singapore 138632, Singapore; Hung, T., Institute of High Performance Computing, 1 Fusionopolis way #16-16 Connexis, Singapore 138632, Singapore; Malik, A.M., Institute of High Performance Computing, 1 Fusionopolis way #16-16 Connexis, Singapore 138632, Singapore","We present in this paper a case study of the benefits of refactoring a large-scale agent-based infectious disease simulator into components. This approach of software development has the potential to increase the productivity of the developer as well as to offer better application performance through a component-based programming paradigm. In our approach, we have designed and developed a generalized component-based optimizer for the compositional adaptation of the compute-intensive kernels. This optimizer provides an efficient mechanism for creating multiple implementations of kernels. It possesses dynamic adaptation feature which selects the most appropriate kernel implementation based on runtime conditions so as to achieve performance that is otherwise unattainable with a single implementation. Our experimental results demonstrate that the component-based simulator with dynamic adaptation enabled has performance gain of 2 to 4 times as compared to the original non-component-based code. Copyright © 2009 ACM.",Adaptation; Component-based software engineering,Agent based; Application performance; Component based; Component-based programming; Component-based software engineering; Dynamic adaptations; Infectious disease; Kernel adaptation; ON dynamics; Optimizers; Performance Gain; Refactorings; Runtimes; Software development; Computer software; Simulators,Adaptation;Component-based software engineering;Agent based;Application performance;Component based;Component-based programming;Dynamic adaptations;Infectious disease;Kernel adaptation;ON dynamics;Optimizers;Performance Gain;Refactorings;Runtimes;Software development;Computer software;Simulators,"Riechers, T. M.; RWTH Aachen UniversityGermany; email: thorsten.riechers@rwthaachen.de",,,,,,,,9781605587189,,,English,"Proc. Workshop Compon.-Based High-Perform. Comput., CBHPC",Conference Paper,Scopus,,2-s2.0-77749260884,,Germany;Singapore,rwthaachen.de,,,"Riechers T.M., Kuo S.-H., Goh R.S.M., Soh H., Hung T., Malik A.M."
"Lee, D.Y.",A Case Study on Refactoring in Haskell Programs,2011,2011 33RD INTERNATIONAL CONFERENCE ON SOFTWARE ENGINEERING (ICSE),,,,1164,1166,3,2,,,"N Carolina State Univ, Dept Comp Sci, Raleigh, NC 27695 USA",,"Programmers use refactoring to improve the design of existing code without changing external behavior. Current research does not empirically answer the question, ""Why and how do programmers refactor functional programs?"" In order to answer the question, I conducted a case study on three open source projects in Haskell. I investigated changed portions of code in 55 successive versions of a given project to classify how programmers refactor. I found a total of 143 refactorings classified by 12 refactoring types. I also found 5 new refactoring types and propose two new refactoring tools that would be useful for developers.",Refactoring; Functional Language; Haskell,,Refactoring;Functional Language;Haskell,dlee10@ncsu.edu,,"345 E 47TH ST, NEW YORK, NY 10017 USA",33rd International Conference on Software Engineering (ICSE),"Honolulu, HI","MAY 21-28, 2011",IEEE,,978-1-4503-0445-0,,,English,,Proceedings Paper,WoS,Computer Science,WOS:000297156400183,2-s2.0-79959903902,United States,ncsu.edu,Dept Comp Sci,"Dept Comp Sci, United States","Lee, Da Young"
"Moser, R., Abrahamsson, P., Pedrycz, W., Sillitti, A., Succi, G.",A case study on the impact of refactoring on quality and productivity in an agile team,2008,BALANCING AGILITY AND FORMALISM IN SOFTWARE ENGINEERING,5082,,,252,+,4,45,,,"[Moser, Raimund; Sillitti, Alberto; Succi, Giancarlo] Free Univ Bolzano Bozen, Bolzano, Italy; [Abrahamsson, Pekka] VTT Elect, Oulu, Finland; [Pedrycz, Witold] Univ Alberta, Edmonton, AB T6G 2M7, Canada",,"Refactoring is a hot and controversial issue. Supporters claim that it helps increasing the quality of the code, making it easier to understand, modify and maintain. Moreover, there are also claims that refactoring yields higher development productivity - however, there is only limited empirical evidence of such assumption. A case study has been conducted to assess the impact of refactoring in a close-to industrial environment. Results indicate that refactoring not only increases aspects of software quality, but also improves productivity. Our findings are applicable to small teams working in similar, highly volatile domains (ours is application development for mobile devices). However, additional research is needed to ensure that this is indeed true and to generalize it to other contexts.",refactoring; software process; methodologies; software metrics,DESIGN,refactoring;software process;methodologies;software metrics;DESIGN,rmoser@unibz.it; pekka.abrahamsson@vtt.fi; pedrycz@ee.ualberta.ca; asillitti@unibz.it; gsucci@unibz.it,"Meyer, B; Nawrocki, JR; Walter, B","HEIDELBERGER PLATZ 3, D-14197 BERLIN, GERMANY",2nd IFIP Central and East European Conference on Software Engineering Techniques (CEE-SET 2007),"Poznan, POLAND","OCT 10-12, 2007",SPRINGER-VERLAG BERLIN,0302-9743,978-3-540-85278-0,,,English,LECT NOTES COMPUT SC,Proceedings Paper,WoS,Computer Science,WOS:000258930500020,2-s2.0-50949085401,Italy;Finland;Canada,unibz.it,Free Univ Bolzano Bozen;VTT Elect;Univ Alberta,"Free Univ Bolzano Bozen, Italy;VTT Elect, Finland;Univ Alberta, Canada","Moser, Raimund; Abrahamsson, Pekka; Pedrycz, Witold; Sillitti, Alberto; Succi, Giancarlo"
"Orru, M., Marchesi, M.",A Case Study on the Relationship between Code Ownership and Refactoring Activities in a Java Software System,2016,PROCEEDINGS OF 2016 IEEE/ACM 7TH INTERNATIONAL WORKSHOP ON EMERGING TRENDS IN SOFTWARE METRICS (WETSOM),,,,43,49,7,1,10.1145/2897695.2897702,,"[Orru, Matteo; Marchesi, Michele] Univ Cagliari, Dept Elect & Elect Engn, Piazza DArmi, I-09123 Cagliari, Italy",,"Refactoring, the activity of changing source code design without affecting its external behavior, is a widely used practice among developers, since it is considered to positively affect the quality of software systems. However, there are some ""human factors"" to be considered while performing refactoring, including developers knowledge of systems architecture. Recent studies showed how much ""people"" metrics, such as code ownership, might affect software quality as well. In this preliminary study we investigated the relationship between code ownership and refactoring activity performed by developers. This study can provide useful insights on who performs refactoring and help team leaders to properly manage human resources during software development.",Code ownership; Refactoring; Developers Activity; Java Software Systems,,Code ownership;Refactoring;Developers Activity;Java Software Systems,matteo.orru@diee.unica.it; michele@diee.unica.it,,"345 E 47TH ST, NEW YORK, NY 10017 USA",7th IEEE/ACM International Workshop on Emerging Trends in Software Metrics (WETSoM),"Austin, TX","MAY 14-15, 2016",IEEE,2327-0950,978-1-4503-4177-6,,,English,INT WORKS EMERG TREN,Proceedings Paper,WoS,Computer Science,WOS:000400695900007,2-s2.0-84974623996,Italy,diee.unica.it,Univ Cagliari,"Univ Cagliari, Italy","Orru, Matteo; Marchesi, Michele"
"Nanthaamornphong, A.",A Case Study: Test-Driven Development in a Microscopy Image-Processing Project,2016,PROCEEDINGS OF SE-HPCCSE 2016: 4TH INTERNATIONAL WORKSHOP ON SOFTWARE ENGINEERING OR HIGH PERFORMANCE COMPUTING IN COMPUTATIONAL SCIENCE AND ENGINEERING,,,,9,16,8,2,10.1109/SE-HPCCSE.2016.5,,"[Nanthaamornphong, Aziz] Prince Songkla Univ, Fac Technol & Environm, Dept Informat & Commun Technol, Phuket Campus, Phuket, Thailand",,"Many scientific software developers have applied software engineering practices to their work in recent years. Agile methods are gaining increased interest from both industry and research fields, including scientific application domains. Test-driven development (TDD) and refactoring practices are critical for the success of agile methods. Although many scientific projects employ agile practices, the effect of TDD on scientific software development remains unknown and should thus be investigated. The objective of this study was to investigate the effects of using TDD to develop scientific software in a high-performance- computing (HPC) environment. The results show that the TDD provides both advantages and disadvantages in a parallel computing environment. In particular, developers face problems when writing tests and there is a lack of software engineering practices.",Test-driven development; scientific software; empirical study; high-performance-computing,SOFTWARE,Test-driven development;scientific software;empirical study;high-performance-computing;SOFTWARE,aziz.n@phuket.psu.ac.th,,"345 E 47TH ST, NEW YORK, NY 10017 USA",4th International Workshop on Software Engineering for High Performance Computing in Computational Science and Engineering (SE-HPCCSE),"Salt Lake City, UT","NOV 14, 2016",IEEE,,978-1-5090-5224-0,,,English,,Proceedings Paper,WoS,Computer Science,WOS:000401818000002,2-s2.0-85015393512,Thailand,phuket.psu.ac.th,Prince Songkla Univ,"Prince Songkla Univ, Thailand","Nanthaamornphong, Aziz"
"Perez J., Crespo Y., Hoffmann B., Mens T.",A case study to evaluate the suitability of graph transformation tools for program refactoring,2010,International Journal on Software Tools for Technology Transfer,12,3,,183,199,,12,10.1007/s10009-010-0153-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77953960112&doi=10.1007%2fs10009-010-0153-y&partnerID=40&md5=e9adf39f859e4e740799c0242e013250,"Departamento de Informática, Universidad de Valladolid, Valladolid, Spain; Fachbereich Mathematik und Informatik, Universität Bremen, Bremen, Germany; Faculté des Sciences, Institut d'Informatique, Université de Mons, Mons, Belgium","Pérez, J., Departamento de Informática, Universidad de Valladolid, Valladolid, Spain; Crespo, Y., Departamento de Informática, Universidad de Valladolid, Valladolid, Spain; Hoffmann, B., Fachbereich Mathematik und Informatik, Universität Bremen, Bremen, Germany; Mens, T., Faculté des Sciences, Institut d'Informatique, Université de Mons, Mons, Belgium","This article proposes a case study to evaluate the suitability of graph transformation tools for program refactoring. To qualify for this purpose, a graph transformation system must be able to (1) import a graph-based representation of models of Java programs, (2) allow these models to be transformed interactively with well-known program refactorings and (3) export the resulting models in the same graph-based format used as input. The case study aims to enable comparison of various features of graph transformation tools, such as their expressiveness and their ability to interact with the user. The model of Java programs is presented and some examples for translating Java source code into the model are provided. The refactorings selected for the case study are specified in detail. © 2010 Springer-Verlag.",Case study; Graph transformation; Java program graphs; Refactoring,Graph Transformation; Graph transformation system; Graph-based; Graph-based representations; Java program; Java source codes; Refactorings; Computer software; Graph theory; Program translators; Research; Java programming language,Case study;Graph transformation;Java program graphs;Refactoring;Graph transformation system;Graph-based;Graph-based representations;Java program;Java source codes;Refactorings;Computer software;Graph theory;Program translators;Research;Java programming language,"Pérez, J.; Departamento de Informática, Universidad de Valladolid, Valladolid, Spain; email: jperez@infor.uva.es",,,,,,,14332779,,,,English,Int. J. Softw. Tools Technol. Trans.,Article,Scopus,,2-s2.0-77953960112,,Spain;Germany;Belgium,infor.uva.es,,,"Perez J., Crespo Y., Hoffmann B., Mens T."
Viana T.,A catalog of bad smells in design-by-contract methodologies with Java modeling language,2013,Journal of Computing Science and Engineering,7,4,,251,262,,2,10.5626/JCSE.2013.7.4.251,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85008254621&doi=10.5626%2fJCSE.2013.7.4.251&partnerID=40&md5=d2edeebcc2c73b0bed326cfaeb696845,"Coordenaçao de Sistemas de Informaçao, Instituto Federal de Pernambuco, Recife, PE, Brazil","Viana, T., Coordenaçao de Sistemas de Informaçao, Instituto Federal de Pernambuco, Recife, PE, Brazil","Bad smells are usually related to program source code, arising from bad design and programming practices. Refactoring activities are often motivated by the detection of bad smells. With the increasing adoption of Design-by-Contract (DBC) methodologies in formal software development, evidence of bad design practices can similarly be found in programs that combine actual production code with interface contracts. These contracts can be written in languages, such as the Java Modeling Language (JML), an extension to the Java syntax. This paper presents a catalog of bad smells that appear during DBC practice, considering JML as the language for specifying contracts. These smells are described over JML constructs, although several can appear in other DBC languages. The catalog contains 6 DBC smells. We evaluate the recurrence of DBC smells in two ways: first by describing a small study with graduate student projects, and second by counting occurrences of smells in contracts from the JML models application programming interface (API). This API contains classes with more than 1,600 lines in contracts. Along with the documented smells, suggestions are provided for minimizing the impact or even removing a bad smell. It is believed that initiatives towards the cataloging of bad smells are useful for establishing good design practices in DBC. © 2013. The Korean Institute of Information Scientists and Engineers.",Bad smells; Design-by-contract; Java modeling language; Refactoring,Application programming interfaces (API); Computer programming; Design; Java programming language; Students; Bad smells; Design by contracts; Formal software development; Graduate students; Java Modeling Language; Program source codes; Programming practices; Refactorings; Odors,Bad smells;Design-by-contract;Java modeling language;Refactoring;Application programming interfaces (API);Computer programming;Design;Java programming language;Students;Design by contracts;Formal software development;Graduate students;Program source codes;Programming practices;Refactorings;Odors,"Viana, T.; Coordenaçao de Sistemas de Informaçao, Instituto Federal de Pernambuco, Recife, PE, Brazil; email: tamnv@recife.ifpe.edu.br",,,,,,Korean Institute of Information Scientists and Engineers,19764677,,,,English,J. Comput. Sci. Eng.,Article,Scopus,,2-s2.0-85008254621,,Brazil,recife.ifpe.edu.br,,,Viana T.
